tf,sensor_log2_selectivity,tf_mrna_log10_ratio
E2F7,4.73127,-0.21524
E2F7,4.07759,-0.21524
E2F8,4.00175,0.20928
E2F7,3.99438,-0.21524
E2F8,3.97281,0.20928
E2F7,3.83776,-0.21524
E2F6,3.74695,0.21414
E2F3,3.74082,0.35972
TFDP1,3.68292,-0.02352
E2F3,3.68289,0.35972
E2F7,3.66918,-0.21524
MYC,3.66121,0.22497
E2F1,3.64633,-0.14567
E2F3,3.64489,0.35972
TFE3,3.64151,-0.02572
TFEB,3.58802,-0.41856
MYC,3.56199,0.22497
MYC,3.55885,0.22497
E2F7,3.49725,-0.21524
JUN,3.48923,0.26082
MYC,3.48216,0.22497
E2F2,3.4648,0.546
E2F1,3.45005,-0.14567
MYC,3.44404,0.22497
E2F7,3.43516,-0.21524
IRF3,3.43181,-0.1629
E2F7,3.43161,-0.21524
E2F8,3.41917,0.20928
E2F7,3.37476,-0.21524
E2F4,3.36384,0.14148
E2F1,3.35499,-0.14567
MXI1,3.35146,0.36623
MYC,3.34094,0.22497
HEY2,3.34067,1.09575
E2F8,3.32598,0.20928
E2F2,3.3204,0.546
MYC,3.31801,0.22497
MYC,3.31616,0.22497
MAX,3.30872,0.13856
E2F4,3.286,0.14148
BHLHE40,3.28331,0.12349
MAX,3.26023,0.13856
E2F8,3.25676,0.20928
MAX,3.249,0.13856
MYC,3.24704,0.22497
MAX,3.23774,0.13856
MYC,3.23767,0.22497
E2F7,3.23292,-0.21524
E2F7,3.20074,-0.21524
SOX9,3.18982,0.21723
E2F2,3.18977,0.546
E2F7,3.18602,-0.21524
E2F7,3.16922,-0.21524
E2F6,3.16579,0.21414
E2F8,3.15734,0.20928
E2F2,3.15584,0.546
IRF3,3.15126,-0.1629
MAX,3.15122,0.13856
E2F7,3.14857,-0.21524
E2F1,3.13646,-0.14567
MAX,3.13611,0.13856
E2F7,3.13348,-0.21524
MLX,3.13239,0.04225
MYC,3.13088,0.22497
E2F7,3.12735,-0.21524
MAX,3.12448,0.13856
TEAD1,3.1217,0.23157
MAX,3.12131,0.13856
MAX,3.12002,0.13856
MYC,3.11711,0.22497
E2F3,3.11166,0.35972
MAX,3.10981,0.13856
MYC,3.10912,0.22497
E2F3,3.10091,0.35972
E2F3,3.10053,0.35972
MNT,3.09494,0.05603
E2F1,3.09105,-0.14567
IRF9,3.08193,0.07959
MYC,3.07364,0.22497
MAX,3.07123,0.13856
MYC,3.06874,0.22497
E2F7,3.06431,-0.21524
MYC,3.06237,0.22497
E2F1,3.06047,-0.14567
E2F6,3.05582,0.21414
TFDP1,3.04364,-0.02352
E2F3,3.04344,0.35972
E2F2,3.04165,0.546
TFDP1,3.03142,-0.02352
MYC,3.02358,0.22497
BCL6,3.02052,-0.46691
BHLHE41,3.01811,-0.53218
E2F8,3.01789,0.20928
MAX,3.01638,0.13856
MYC,3.01255,0.22497
NFIL3,3.00732,0.04188
MAX,2.98877,0.13856
MTF1,2.98791,0.11672
MNT,2.98743,0.05603
MYC,2.98545,0.22497
MYC,2.98541,0.22497
MYC,2.98497,0.22497
MAX,2.98249,0.13856
E2F7,2.97992,-0.21524
E2F4,2.97413,0.14148
E2F7,2.96179,-0.21524
CLOCK,2.95267,0.06464
E2F2,2.94637,0.546
E2F7,2.94207,-0.21524
TFDP1,2.93264,-0.02352
E2F2,2.93151,0.546
MYC,2.92072,0.22497
MAX,2.92013,0.13856
MYC,2.91897,0.22497
MYC,2.91107,0.22497
MAFG,2.91074,-0.03675
E2F6,2.90984,0.21414
MAX,2.90792,0.13856
MYC,2.90448,0.22497
E2F2,2.90178,0.546
MYC,2.90101,0.22497
MLX,2.90091,0.04225
E2F1,2.90088,-0.14567
E2F7,2.89573,-0.21524
USF1,2.89284,-0.13268
BACH1,2.89117,-0.08588
E2F7,2.88343,-0.21524
ATF4,2.88061,0.11374
E2F1,2.87963,-0.14567
E2F6,2.87674,0.21414
E2F4,2.87636,0.14148
MYC,2.87613,0.22497
TLX2,2.87354,1.02462
E2F2,2.87349,0.546
E2F4,2.87306,0.14148
MYC,2.87286,0.22497
E2F4,2.8723,0.14148
MXI1,2.86688,0.36623
E2F2,2.86635,0.546
MYC,2.86517,0.22497
MAX,2.86514,0.13856
E2F6,2.85949,0.21414
MYC,2.85808,0.22497
CLK1,2.85674,0.17066
MYC,2.85604,0.22497
E2F6,2.85584,0.21414
USF1,2.8558,-0.13268
MYC,2.85312,0.22497
MAX,2.84938,0.13856
MYC,2.84894,0.22497
E2F4,2.84672,0.14148
MAX,2.84191,0.13856
TFDP1,2.84097,-0.02352
MYC,2.83987,0.22497
MYC,2.83662,0.22497
CREB3L1,2.83446,-0.29251
MYC,2.8342,0.22497
E2F1,2.83284,-0.14567
E2F6,2.83247,0.21414
MAX,2.82924,0.13856
BHLHE41,2.82561,-0.53218
MAX,2.82556,0.13856
BHLHE41,2.82213,-0.53218
MYC,2.81141,0.22497
MAX,2.80171,0.13856
TFDP1,2.7996,-0.02352
MTF1,2.79666,0.11672
MYC,2.79647,0.22497
MYC,2.79467,0.22497
MECP2,2.79314,0.18722
E2F1,2.79287,-0.14567
MXI1,2.79172,0.36623
MAX,2.7899,0.13856
E2F1,2.78771,-0.14567
BHLHE40,2.7873,0.12349
E2F7,2.78486,-0.21524
MAX,2.78289,0.13856
E2F7,2.78247,-0.21524
MAX,2.78216,0.13856
E2F4,2.77504,0.14148
USF1,2.77446,-0.13268
NFE2,2.77261,0.59563
TBX20,2.76614,1.45484
E2F2,2.7636,0.546
MXI1,2.76083,0.36623
MAX,2.75848,0.13856
MYC,2.75505,0.22497
E2F7,2.755,-0.21524
E2F8,2.75024,0.20928
ARNT,2.74934,0.03492
E2F7,2.74916,-0.21524
CREB3L1,2.74532,-0.29251
MYC,2.74407,0.22497
NRF1,2.74291,-0.06707
E2F1,2.73958,-0.14567
E2F1,2.73726,-0.14567
MAX,2.73402,0.13856
MAX,2.73301,0.13856
MYC,2.72109,0.22497
E2F6,2.72035,0.21414
NFE2L2,2.7176,0.01426
MYC,2.71744,0.22497
E2F2,2.71707,0.546
MTF1,2.71618,0.11672
E2F7,2.71466,-0.21524
E2F7,2.71355,-0.21524
ELK1,2.7089,-0.14318
MYC,2.69757,0.22497
E2F1,2.69607,-0.14567
TEAD3,2.69253,-0.10294
IRF4,2.69203,-0.17271
BHLHE41,2.68614,-0.53218
MYC,2.68544,0.22497
TFAP2A,2.68396,-0.00481
MYC,2.68317,0.22497
E2F8,2.68307,0.20928
MYC,2.68285,0.22497
MAX,2.67652,0.13856
MNT,2.67352,0.05603
E2F1,2.67327,-0.14567
TEAD1,2.66884,0.23157
ATF4,2.66475,0.11374
MYC,2.66314,0.22497
E2F1,2.65783,-0.14567
MYC,2.65532,0.22497
MAX,2.65433,0.13856
MYC,2.65322,0.22497
E2F3,2.65259,0.35972
MXI1,2.65018,0.36623
MYC,2.64721,0.22497
E2F1,2.64009,-0.14567
MAX,2.63949,0.13856
E2F8,2.63906,0.20928
MYC,2.6371,0.22497
E2F1,2.63654,-0.14567
MYC,2.6357,0.22497
RFX3,2.63252,0.21238
E2F1,2.62855,-0.14567
MAX,2.62764,0.13856
MAX,2.62763,0.13856
MAX,2.62731,0.13856
MYC,2.62729,0.22497
IRF3,2.62365,-0.1629
TFE3,2.61874,-0.02572
MYC,2.61765,0.22497
MYC,2.61691,0.22497
NFE2,2.61516,0.59563
SOX18,2.61501,1.26007
MAX,2.61348,0.13856
USF1,2.61032,-0.13268
MYC,2.60963,0.22497
MYC,2.60813,0.22497
MLX,2.60696,0.04225
ETS1,2.60653,0.2381
TFDP1,2.6063,-0.02352
E2F8,2.60613,0.20928
MAX,2.60597,0.13856
MAX,2.60559,0.13856
E2F2,2.60525,0.546
E2F7,2.60496,-0.21524
E2F8,2.60384,0.20928
MYC,2.60337,0.22497
E2F3,2.60318,0.35972
CLOCK,2.60182,0.06464
FOSL1,2.6015,0.12968
E2F4,2.60132,0.14148
MYC,2.59935,0.22497
MAX,2.59848,0.13856
E2F2,2.59737,0.546
HEY1,2.59706,1.16638
E2F8,2.59554,0.20928
MYC,2.59517,0.22497
MAX,2.59198,0.13856
MYC,2.58745,0.22497
E2F8,2.58705,0.20928
ARNT,2.58376,0.03492
HLF,2.5819,1.20049
E2F2,2.58037,0.546
E2F4,2.58024,0.14148
BHLHE40,2.57964,0.12349
E2F3,2.56902,0.35972
E2F6,2.56751,0.21414
CREB3L1,2.56617,-0.29251
MAX,2.56612,0.13856
MXI1,2.56587,0.36623
MYC,2.56499,0.22497
MYC,2.56217,0.22497
E2F3,2.56029,0.35972
MAX,2.56006,0.13856
MYC,2.55907,0.22497
FOSL1,2.55559,0.12968
E2F7,2.55455,-0.21524
MYC,2.55331,0.22497
IRF9,2.54715,0.07959
MYC,2.54573,0.22497
MAX,2.54457,0.13856
E2F3,2.54394,0.35972
MXI1,2.54134,0.36623
SRF,2.54075,-0.18877
MAX,2.53761,0.13856
IRF4,2.53743,-0.17271
MAX,2.5366,0.13856
MLXIPL,2.53644,1.28556
MYC,2.53629,0.22497
MYC,2.53527,0.22497
MYC,2.53513,0.22497
TEAD4,2.53391,0.33182
MAX,2.53348,0.13856
MAX,2.53116,0.13856
MAX,2.53071,0.13856
MYC,2.53003,0.22497
BHLHE40,2.52993,0.12349
MYC,2.52986,0.22497
E2F3,2.52959,0.35972
MAX,2.51865,0.13856
E2F7,2.51843,-0.21524
E2F4,2.51796,0.14148
E2F4,2.51715,0.14148
MAX,2.5168,0.13856
SOX2,2.51679,1.37658
MAX,2.51665,0.13856
USF1,2.51599,-0.13268
MYC,2.5112,0.22497
E2F1,2.50861,-0.14567
IRF4,2.50264,-0.17271
MTF1,2.50264,0.11672
E2F2,2.49873,0.546
MAX,2.4982,0.13856
MTF1,2.49775,0.11672
SIRT6,2.49765,-0.01814
IRF3,2.49717,-0.1629
MAX,2.49655,0.13856
MAX,2.49612,0.13856
MYC,2.49577,0.22497
E2F1,2.49576,-0.14567
MYC,2.49412,0.22497
ATF4,2.49317,0.11374
MLXIPL,2.49243,1.28556
BHLHE40,2.49064,0.12349
MAX,2.48918,0.13856
MYC,2.48458,0.22497
MAX,2.4845,0.13856
ARNT,2.48436,0.03492
E2F1,2.48425,-0.14567
CLOCK,2.48078,0.06464
E2F4,2.48067,0.14148
E2F4,2.47713,0.14148
SIN3A,2.476,0.04933
E2F1,2.47327,-0.14567
CREB3L1,2.46674,-0.29251
MZF1,2.46491,0.10253
MYC,2.46357,0.22497
MYC,2.46215,0.22497
BHLHE40,2.45679,0.12349
MYC,2.45581,0.22497
FOSL2,2.45513,0.07854
E2F6,2.45125,0.21414
TEAD4,2.44985,0.33182
MAX,2.44259,0.13856
NFIC,2.44083,-0.21458
E2F1,2.43677,-0.14567
MNT,2.43554,0.05603
USF2,2.43282,-0.17263
E2F1,2.43171,-0.14567
MLXIPL,2.43169,1.28556
CLOCK,2.42975,0.06464
NFE2,2.42848,0.59563
IRF3,2.42738,-0.1629
MYC,2.42624,0.22497
MAX,2.42602,0.13856
HESX1,2.42578,0.17438
MYC,2.4255,0.22497
MITF,2.42505,0.30426
TEAD4,2.42462,0.33182
E2F7,2.42081,-0.21524
MYC,2.42065,0.22497
MAX,2.41892,0.13856
CLOCK,2.41772,0.06464
