pwm,tf,nvar,cons_aff,best_aff,dT,dN,dS,d_rep,same,rho,bucket
A1CF_Hsapiens-hPDI-ACF,A1CF,3,1.0,0.33422103861517977,0.3818730769678334,-0.13173174792669112,0.5136048248945245,0,False,,other
ABCF2_Hsapiens-hPDI-ABCF2,ABCF2,6,1.0,0.20095884938074357,5.727126618946889,4.786436327229251,0.9406902917176376,0,False,-0.02898855178262242,tumor-gain
ADARB1_Hsapiens-hPDI-ADARB1,ADARB1,5,1.0,0.500998003992016,1.439028684154245,1.0913956787212609,0.34763300543298414,0,False,,neutral
AFF4_Hsapiens-hPDI-AFF4,AFF4,3,1.0,0.6006389776357828,1.2899428401964252,0.9744164417737684,0.31552639842265684,0,False,,neutral
AFP_1	AFP1_transfac_M00616,AFP,6,0.6672212978369385,0.250936329588015,0.31934680414214683,-1.2912316885669206,1.6105784927090674,0,False,-0.3380617018914066,normal-suppression
AGAP2_Hsapiens-hPDI-CENTG1,AGAP2,5,1.0,0.6672212978369385,0.5416789918017917,-1.1832332731299713,1.724912264931763,0,False,0.7181848464596079,tumor-gain
AGGF1_Hsapiens-hPDI-AGGF1,AGGF1,9,0.6674426338543398,0.500873471425007,-0.36207219616340736,-1.0913549830271543,0.7292827868637469,0,False,0.04274909800354809,normal-suppression
"AHR::ARNT::HIF1A_1	AhR,-Arnt,-HIF-1_transfac_M00976",AHR,7,1.0,0.7411915171651595,1.56885296528044,1.0782616626664574,0.49059130261398254,0,False,0.03571428571428572,neutral
AHR::ARNT_1	AhR:Arnt_transfac_M00235,AHR,10,1.0,0.488599511802261,-0.700014252125389,-1.543521197699569,0.84350694557418,0,False,0.12727272727272726,divergent
AHR::ARNT_2	AhR:Arnt_transfac_M00237,AHR,10,1.0,0.5510185036369575,0.369325714495207,0.10348108425666172,0.2658446302385453,0,False,0.18237166310401937,neutral
AHR::ARNT_3	Arnt::Ahr_jaspar_MA0006.1,AHR,10,1.0,0.04447569300753753,-1.4432836569437113,-2.137876280051408,0.6945926231076969,0,False,0.03739787960033829,divergent
AHR_1	AhR_transfac_M00139,AHR,10,1.0,0.800357915465829,0.7218236894808355,-0.05606055231116327,0.7778842417919988,0,False,0.018349396085439344,tumor-gain
AHR_2	AhR_transfac_M00778,AHR,9,1.0,0.8576512455516012,2.157074022049212,1.845696845134319,0.311377176914893,0,False,0.2273366604543674,neutral
AHR_Hsapiens-HOCOMOCOv10-AHR_HUMAN.H10MO.B,AHR,10,1.0,0.6575036483307034,-0.15866256541706666,-0.8429439918257186,0.6842814264086519,0,False,0.3696969696969697,normal-suppression
AHR_Hsapiens-cisbp_1.02-M2917_1.02,AHR,10,1.0,1.0,0.0,0.0,0.0,0,True,0.16775364516494487,neutral
AHR_Hsapiens-cisbp_1.02-M6139_1.02,AHR,9,1.0,0.4669122053892383,1.2385493621380637,0.43452981667535867,0.804019545462705,0,False,-0.15,tumor-gain
AIRE_1	AIRE_transfac_M00999,AIRE,6,0.08638781019359444,5.926107948048526e-06,0.36395890299336003,-0.2263306553781906,0.5902895583715506,0,False,-0.3142857142857143,other
AIRE_Hsapiens-HOCOMOCOv10-AIRE_HUMAN.H10MO.C,AIRE,7,0.11372662362415341,0.04704255012381759,0.2099895416665768,-0.6845677580837691,0.8945572997503459,0,False,0.28571428571428575,normal-suppression
AIRE_Hsapiens-SwissRegulon-AIRE.SwissRegulon,AIRE,6,0.33667525242320795,0.002985333111802121,-0.07361183761610082,-0.6424035408691534,0.5687917032530526,0,False,-0.08571428571428573,normal-suppression
ALX1_1	Cart-1_transfac_M00416,ALX1,7,0.5843689931729303,0.4548362644891623,-0.13382774339178657,-0.5165951973591735,0.3827674539673869,0,False,-0.5714285714285715,neutral
ALX1_2	Cart1_bulyk_cell08-0997.1,ALX1,3,0.3352901571653853,0.19919820956730314,-0.014358466381845089,-0.291400784696574,0.2770423183147289,0,False,,neutral
ALX1_3	Cart1_bulyk_cell08-1275.1,ALX1,6,0.4408034732788027,0.08646937818718718,-0.32687965670057184,-0.9097959868090226,0.5829163301084508,0,False,-0.48571428571428577,normal-suppression
ALX1_4	Alx1_jolma_DBD_M454,ALX1,3,0.5082558364004448,0.44126904291390845,0.5550985304366163,-0.06015294530744768,0.6152514757440639,0,False,,tumor-gain
ALX1_5	Alx1_jolma_DBD_M455,ALX1,2,0.5657345290729299,0.5657345290729299,0.0,0.0,0.0,0,True,,neutral
ALX3_1	Alx3_bulyk_cell08-3418.2,ALX3,2,0.8507853340486267,0.8507853340486267,0.0,0.0,0.0,0,True,,neutral
ALX3_2	ALX3_jolma_DBD_M449,ALX3,10,0.9430250316349832,0.46000692374591545,0.5128084682123435,-0.3362236946947749,0.8490321629071185,0,False,-0.29696969696969694,tumor-gain
ALX3_3	ALX3_jolma_full_M450,ALX3,6,0.8868760763439179,0.48035724206601055,0.2613720552256267,0.11401632710270558,0.14735572812292108,0,False,0.028571428571428574,neutral
ALX3_Hsapiens-HOCOMOCOv10-ALX3_HUMAN.H10MO.D,ALX3,3,0.1017970254852894,0.08803520343492842,0.5849895476919962,-2.000294984520175,2.585284532212171,0,False,,tumor-gain
ALX3_Hsapiens-SwissRegulon-ALX3.SwissRegulon,ALX3,2,0.5673212000475527,0.5673212000475527,0.0,0.0,0.0,0,True,,neutral
ALX3_Hsapiens-jaspar2016-ALX3-MA0634.1,ALX3,4,0.4814954456830021,0.3189998258377594,0.23919953979807818,-0.35499026701910474,0.5941898068171829,0,False,0.6000000000000001,other
ALX3_Hsapiens-jaspar2018-ALX3-MA0634.1,ALX3,3,0.24202040765194005,0.24202040765194005,0.0,0.0,0.0,0,True,,neutral
ALX3_Hsapiens-jolma2013-ALX3,ALX3,7,0.08164007565103538,0.04052306737442808,0.3713731797362433,-0.5929967349026137,0.964369914638857,0,False,-0.39285714285714296,normal-suppression
ALX3_Hsapiens-jolma2013-ALX3-2,ALX3,2,0.11890048332470025,0.11890048332470025,0.0,0.0,0.0,0,True,,neutral
ALX4_2	Alx4_bulyk_cell08-1744.1,ALX4,7,0.3297689382377664,0.01789812265392863,0.3293710572664235,0.05727644893309834,0.27209460833332516,0,False,0.0,neutral
ALX4_3	ALX4_jolma_DBD_M452,ALX4,2,0.7556577628718658,0.7556577628718658,0.0,0.0,0.0,0,True,,neutral
ALX4_Hsapiens-SwissRegulon-ALX4.SwissRegulon,ALX4,3,0.21947464591343077,0.11961648836024943,1.101460044337889,-1.080935327869895,2.1823953722077842,0,False,,tumor-gain
ALX4_Hsapiens-jolma2013-ALX4,ALX4,3,0.19124924475619573,0.19124924475619573,0.0,0.0,0.0,0,True,,neutral
ANDR_Hsapiens-HOCOMOCOv10-ANDR_HUMAN.H10MO.A,AR,10,0.8172218769746551,0.11289393268564966,0.24174104047305078,-0.3572841475960841,0.5990251880691349,0,False,-0.33333333333333326,other
ANXA1_Hsapiens-hPDI-ANXA1,ANXA1,8,1.0,0.40083882564409884,1.3130556804448514,0.2847665675352537,1.0282891129095977,0,False,-0.5611425419454067,tumor-gain
AP1_Hsapiens-JASPAR_CORE-AP1-MA0099.2,JUN,7,0.07262091596518765,0.07262091596518765,0.0,0.0,0.0,0,True,0.6728384948943099,neutral
AP1_disc1 JUND_K562_encode-Snyder_seq_hsa_r1:MEME#1#Intergenic,JUND,9,1.0,0.9480302158957751,0.41218150430516937,-0.5659293951629071,0.9781108994680765,0,False,0.13333333333333333,normal-suppression
AP1_disc2 FOS_GM12878_encode-Snyder_seq_hsa_r1:MEME#1#Intergenic,FOS,10,1.0,0.3228548118492102,-0.5328589744059792,-0.6677902243997694,0.13493124999379025,0,False,0.11515151515151514,neutral
AP1_disc3 FOS_K562_encode-White_seq_hsa_eGFP_r1:MDscan#3#Intergenic,FOS,8,0.9775209938917888,0.7769095564985121,0.060346546135489114,-0.5303790433007762,0.5907255894362653,0,False,-0.523809523809524,normal-suppression
AP1_disc4 JUND_GM12878_encode-Snyder_seq_hsa_r1:AlignACE#2#Intergenic,JUND,4,1.0,0.5008414856644199,0.2818059520786384,0.1695536506239928,0.1122523014546456,0,False,0.0,neutral
AP1_disc5 FOS_K562_encode-White_seq_hsa_eGFP_r1:Trawler#3#Intergenic,FOS,6,1.0,0.3343749609584848,-0.7239948019209995,-1.4039129944660602,0.6799181925450607,0,False,-0.4285714285714286,divergent
AP1_disc6 JUND_H1-hESC_encode-Myers_seq_hsa_v041610.2_r1:MEME#2#Intergenic,JUND,10,1.0,0.5430917374221698,-0.2808125543756728,-0.7140860123163602,0.43327345794068733,0,False,0.18787878787878787,neutral
AP1_disc7 FOS_HUVEC_encode-Snyder_seq_hsa_r1:AlignACE#2#Intergenic,FOS,9,0.851159787680224,0.851159787680224,0.0,0.0,0.0,0,True,-0.15,neutral
AP1_disc9 FOSL1_K562_encode-Myers_seq_hsa_v041610.1-SC-183_r1:Trawler#3#Intergenic,FOS,9,1.0,0.026639344262295087,-1.287733878677759,-2.3468197438354044,1.0590858651576454,0,False,-0.26666666666666666,divergent
